num_groups,num_clusters,num_returns,num_queries,re_rank,average_search_time,mean_average_accuracy
8,28,10,1000,euclidean,0.02,0.7742
8,29,10,1000,euclidean,0.021,0.7714
8,30,10,1000,euclidean,0.024,0.7735
8,31,10,1000,euclidean,0.023,0.7701
8,32,10,1000,euclidean,0.023,0.7754
16,8,10,1000,euclidean,0.032,0.7666
16,9,10,1000,euclidean,0.033,0.7669
16,10,10,1000,euclidean,0.026,0.7747
16,11,10,1000,euclidean,0.03,0.7664
16,12,10,1000,euclidean,0.032,0.7747
16,13,10,1000,euclidean,0.031,0.7782
16,14,10,1000,euclidean,0.039,0.7683
16,15,10,1000,euclidean,0.026,0.7724
16,16,10,1000,euclidean,0.032,0.7694
16,17,10,1000,euclidean,0.032,0.7779
16,18,10,1000,euclidean,0.033,0.774
16,19,10,1000,euclidean,0.031,0.781
16,20,10,1000,euclidean,0.029,0.7755
16,21,10,1000,euclidean,0.029,0.7801
16,22,10,1000,euclidean,0.032,0.7751
16,23,10,1000,euclidean,0.029,0.7824
16,24,10,1000,euclidean,0.032,0.7777
16,25,10,1000,euclidean,0.034,0.7799
16,26,10,1000,euclidean,0.029,0.7825
16,27,10,1000,euclidean,0.032,0.7802
16,28,10,1000,euclidean,0.038,0.7831
16,29,10,1000,euclidean,0.027,0.7795
16,30,10,1000,euclidean,0.029,0.7862
16,31,10,1000,euclidean,0.029,0.7887
16,32,10,1000,euclidean,0.031,0.7808
32,8,10,1000,euclidean,0.05,0.7803
32,9,10,1000,euclidean,0.048,0.7817
32,10,10,1000,euclidean,0.046,0.7823
32,11,10,1000,euclidean,0.045,0.7849
32,12,10,1000,euclidean,0.048,0.7872
32,13,10,1000,euclidean,0.046,0.7868
32,14,10,1000,euclidean,0.047,0.7861
32,15,10,1000,euclidean,0.042,0.7858
32,16,10,1000,euclidean,0.046,0.7857
32,17,10,1000,euclidean,0.044,0.7903
32,18,10,1000,euclidean,0.045,0.7876
32,19,10,1000,euclidean,0.045,0.7907
32,20,10,1000,euclidean,0.05,0.7893
32,21,10,1000,euclidean,0.045,0.7919
32,22,10,1000,euclidean,0.046,0.7925
32,23,10,1000,euclidean,0.053,0.7923
32,24,10,1000,euclidean,0.048,0.7912
32,25,10,1000,euclidean,0.047,0.7895
32,26,10,1000,euclidean,0.044,0.7935
32,27,10,1000,euclidean,0.046,0.7895
32,28,10,1000,euclidean,0.044,0.7989
32,29,10,1000,euclidean,0.048,0.7906
32,30,10,1000,euclidean,0.042,0.7993
32,31,10,1000,euclidean,0.046,0.7918
32,32,10,1000,euclidean,0.044,0.7951
64,8,10,1000,euclidean,0.076,0.7906
64,9,10,1000,euclidean,0.08,0.7909
64,10,10,1000,euclidean,0.074,0.7935
64,11,10,1000,euclidean,0.082,0.7962
64,12,10,1000,euclidean,0.087,0.7956
64,13,10,1000,euclidean,0.075,0.7953
64,14,10,1000,euclidean,0.076,0.7953
64,15,10,1000,euclidean,0.074,0.794
64,16,10,1000,euclidean,0.074,0.7955
64,17,10,1000,euclidean,0.076,0.794
64,18,10,1000,euclidean,0.076,0.7959
64,19,10,1000,euclidean,0.074,0.7926
64,20,10,1000,euclidean,0.075,0.7977
64,21,10,1000,euclidean,0.075,0.8007
64,22,10,1000,euclidean,0.075,0.7977
64,23,10,1000,euclidean,0.078,0.7957
64,24,10,1000,euclidean,0.075,0.7967
64,25,10,1000,euclidean,0.074,0.8005
64,26,10,1000,euclidean,0.076,0.7979
64,27,10,1000,euclidean,0.074,0.7985
64,28,10,1000,euclidean,0.077,0.8025
64,29,10,1000,euclidean,0.075,0.7991
64,30,10,1000,euclidean,0.08,0.8002
64,31,10,1000,euclidean,0.077,0.8
64,32,10,1000,euclidean,0.069,0.7967
