num_groups,num_clusters,threshold,num_queries,re_rank,average_search_time,mean_average_accuracy,mean_recall
32,16,0.7,1000,euclidean,0.096,0.9085,0.561
32,17,0.7,1000,euclidean,0.087,0.909,0.5581
32,18,0.7,1000,euclidean,0.071,0.9075,0.5641
32,19,0.7,1000,euclidean,0.073,0.9094,0.5666
32,20,0.7,1000,euclidean,0.083,0.9105,0.5602
32,21,0.7,1000,euclidean,0.079,0.9103,0.5675
32,22,0.7,1000,euclidean,0.092,0.9102,0.5626
32,23,0.7,1000,euclidean,0.063,0.9085,0.5632
32,24,0.7,1000,euclidean,0.083,0.9099,0.5628
32,25,0.7,1000,euclidean,0.088,0.9105,0.5621
32,26,0.7,1000,euclidean,0.081,0.9108,0.5601
32,27,0.7,1000,euclidean,0.072,0.9087,0.5576
32,28,0.7,1000,euclidean,0.107,0.9147,0.5566
32,29,0.7,1000,euclidean,0.092,0.9115,0.5587
32,30,0.7,1000,euclidean,0.105,0.9111,0.5597
32,31,0.7,1000,euclidean,0.088,0.9079,0.5595
32,32,0.7,1000,euclidean,0.089,0.9138,0.5581
64,16,0.7,1000,euclidean,0.118,0.9087,0.5639
64,17,0.7,1000,euclidean,0.109,0.9104,0.5631
64,18,0.7,1000,euclidean,0.163,0.9098,0.5562
64,19,0.7,1000,euclidean,0.251,0.9115,0.5565
64,20,0.7,1000,euclidean,0.174,0.9116,0.5557
64,21,0.7,1000,euclidean,0.14,0.9137,0.555
64,22,0.7,1000,euclidean,0.161,0.914,0.5553
64,23,0.7,1000,euclidean,0.126,0.9173,0.5542
64,24,0.7,1000,euclidean,0.091,0.916,0.5513
64,25,0.7,1000,euclidean,0.101,0.917,0.5481
64,26,0.7,1000,euclidean,0.098,0.915,0.5498
64,27,0.7,1000,euclidean,0.104,0.9167,0.5431
64,28,0.7,1000,euclidean,0.102,0.9154,0.5409
64,29,0.7,1000,euclidean,0.095,0.9177,0.5399
64,30,0.7,1000,euclidean,0.153,0.9162,0.5365
64,31,0.7,1000,euclidean,0.128,0.9183,0.5353
64,32,0.7,1000,euclidean,0.147,0.9178,0.5301
32,16,0.75,1000,euclidean,0.064,0.8559,0.6191
32,17,0.75,1000,euclidean,0.068,0.8565,0.6183
32,18,0.75,1000,euclidean,0.081,0.8557,0.6232
32,19,0.75,1000,euclidean,0.124,0.8587,0.627
32,20,0.75,1000,euclidean,0.186,0.862,0.6206
32,21,0.75,1000,euclidean,0.203,0.8618,0.6288
32,22,0.75,1000,euclidean,0.192,0.8582,0.622
32,23,0.75,1000,euclidean,0.145,0.8606,0.6218
32,24,0.75,1000,euclidean,0.175,0.8593,0.6189
32,25,0.75,1000,euclidean,0.157,0.8589,0.6192
32,26,0.75,1000,euclidean,0.165,0.8589,0.6184
32,27,0.75,1000,euclidean,0.156,0.8587,0.613
32,28,0.75,1000,euclidean,0.168,0.8657,0.6166
32,29,0.75,1000,euclidean,0.116,0.8587,0.6119
32,30,0.75,1000,euclidean,0.12,0.8614,0.616
32,31,0.75,1000,euclidean,0.121,0.8587,0.6115
32,32,0.75,1000,euclidean,0.158,0.863,0.6138
64,16,0.75,1000,euclidean,0.164,0.8585,0.6182
64,17,0.75,1000,euclidean,0.164,0.8597,0.6165
64,18,0.75,1000,euclidean,0.207,0.8604,0.6078
64,19,0.75,1000,euclidean,0.249,0.8641,0.609
64,20,0.75,1000,euclidean,0.262,0.864,0.6082
64,21,0.75,1000,euclidean,0.221,0.8674,0.6056
64,22,0.75,1000,euclidean,0.194,0.8653,0.6052
64,23,0.75,1000,euclidean,0.221,0.8658,0.6011
64,24,0.75,1000,euclidean,0.209,0.8698,0.599
64,25,0.75,1000,euclidean,0.224,0.8697,0.5926
64,26,0.75,1000,euclidean,0.12,0.8683,0.5953
64,27,0.75,1000,euclidean,0.11,0.871,0.5861
64,28,0.75,1000,euclidean,0.108,0.8724,0.5858
64,29,0.75,1000,euclidean,0.098,0.8719,0.5834
64,30,0.75,1000,euclidean,0.107,0.8716,0.5791
64,31,0.75,1000,euclidean,0.083,0.8723,0.577
64,32,0.75,1000,euclidean,0.069,0.8734,0.5757
32,16,0.8,1000,euclidean,0.026,0.7868,0.6576
32,17,0.8,1000,euclidean,0.028,0.7867,0.6578
32,18,0.8,1000,euclidean,0.032,0.7876,0.6595
32,19,0.8,1000,euclidean,0.03,0.7878,0.6675
32,20,0.8,1000,euclidean,0.026,0.7932,0.6612
32,21,0.8,1000,euclidean,0.036,0.792,0.666
32,22,0.8,1000,euclidean,0.032,0.7876,0.6603
32,23,0.8,1000,euclidean,0.028,0.7924,0.6589
32,24,0.8,1000,euclidean,0.035,0.7923,0.6596
32,25,0.8,1000,euclidean,0.027,0.7914,0.6585
32,26,0.8,1000,euclidean,0.031,0.7925,0.6573
32,27,0.8,1000,euclidean,0.032,0.791,0.651
32,28,0.8,1000,euclidean,0.033,0.7991,0.6542
32,29,0.8,1000,euclidean,0.029,0.7925,0.6492
32,30,0.8,1000,euclidean,0.024,0.7958,0.6553
32,31,0.8,1000,euclidean,0.029,0.7906,0.6492
32,32,0.8,1000,euclidean,0.03,0.7945,0.6488
64,16,0.8,1000,euclidean,0.095,0.7943,0.6554
64,17,0.8,1000,euclidean,0.115,0.7949,0.6555
64,18,0.8,1000,euclidean,0.068,0.7949,0.6464
64,19,0.8,1000,euclidean,0.048,0.8001,0.6442
64,20,0.8,1000,euclidean,0.047,0.8011,0.6409
64,21,0.8,1000,euclidean,0.056,0.8059,0.641
64,22,0.8,1000,euclidean,0.051,0.8016,0.6373
64,23,0.8,1000,euclidean,0.044,0.8071,0.6336
64,24,0.8,1000,euclidean,0.047,0.8087,0.6318
64,25,0.8,1000,euclidean,0.051,0.8108,0.6242
64,26,0.8,1000,euclidean,0.044,0.8083,0.6239
64,27,0.8,1000,euclidean,0.043,0.811,0.6144
64,28,0.8,1000,euclidean,0.054,0.8135,0.6123
64,29,0.8,1000,euclidean,0.044,0.8149,0.6113
64,30,0.8,1000,euclidean,0.05,0.8136,0.6045
64,31,0.8,1000,euclidean,0.049,0.8129,0.6019
64,32,0.8,1000,euclidean,0.04,0.8154,0.6005
